#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
92,Gastly,Ghost Poison,310,30,35,30,100,35,80,Ghost,Poison
93,Haunter,Ghost Poison,405,45,50,45,115,55,95,Ghost,Poison
94,Gengar,Ghost Poison,500,60,65,60,130,75,110,Ghost,Poison
94,Gengar Mega Gengar,Ghost Poison,600,60,65,80,170,95,130,Ghost,Poison
95,Onix,Rock Ground,385,35,45,160,30,45,70,Rock,Ground
96,Drowzee,Psychic,328,60,48,45,43,90,42,Psychic,
97,Hypno,Psychic,483,85,73,70,73,115,67,Psychic,
98,Krabby,Water,325,30,105,90,25,25,50,Water,
99,Kingler,Water,475,55,130,115,50,50,75,Water,
100,Voltorb,Electric,330,40,30,50,55,55,100,Electric,
100,Voltorb Hisuian Voltorb,Electric Grass,330,40,30,50,55,55,100,Electric,Grass
101,Electrode,Electric,490,60,50,70,80,80,150,Electric,
101,Electrode Hisuian Electrode,Electric Grass,490,60,50,70,80,80,150,Electric,Grass
102,Exeggcute,Grass Psychic,325,60,40,80,60,45,40,Grass,Psychic
103,Exeggutor,Grass Psychic,530,95,95,85,125,75,55,Grass,Psychic
103,Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,85,125,75,45,Grass,Dragon
104,Cubone,Ground,320,50,50,95,40,50,35,Ground,
105,Marowak,Ground,425,60,80,110,50,80,45,Ground,
105,Marowak Alolan Marowak,Fire Ghost,425,60,80,110,50,80,45,Fire,Ghost
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,Fighting,
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,Fighting,
108,Lickitung,Normal,385,90,55,75,60,75,30,Normal,
109,Koffing,Poison,340,40,65,95,60,45,35,Poison,
110,Weezing,Poison,490,65,90,120,85,70,60,Poison,
110,Weezing Galarian Weezing,Poison Fairy,490,65,90,120,85,70,60,Poison,Fairy
111,Rhyhorn,Ground Rock,345,80,85,95,30,30,25,Ground,Rock
112,Rhydon,Ground Rock,485,105,130,120,45,45,40,Ground,Rock
113,Chansey,Normal,450,250,5,5,35,105,50,Normal,
114,Tangela,Grass,435,65,55,115,100,40,60,Grass,
115,Kangaskhan,Normal,490,105,95,80,40,80,90,Normal,
115,Kangaskhan Mega Kangaskhan,Normal,590,105,125,100,60,100,100,Normal,
116,Horsea,Water,295,30,40,70,70,25,60,Water,
117,Seadra,Water,440,55,65,95,95,45,85,Water,
118,Goldeen,Water,320,45,67,60,35,50,63,Water,
119,Seaking,Water,450,80,92,65,65,80,68,Water,
120,Staryu,Water,340,30,45,55,70,55,85,Water,
121,Starmie,Water Psychic,520,60,75,85,100,85,115,Water,Psychic
122,Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90,Psychic,Fairy
122,Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,65,90,90,100,Ice,Psychic
123,Scyther,Bug Flying,500,70,110,80,55,80,105,Bug,Flying
124,Jynx,Ice Psychic,455,65,50,35,115,95,95,Ice,Psychic
125,Electabuzz,Electric,490,65,83,57,95,85,105,Electric,
126,Magmar,Fire,495,65,95,57,100,85,93,Fire,
127,Pinsir,Bug,500,65,125,100,55,70,85,Bug,
127,Pinsir Mega Pinsir,Bug Flying,600,65,155,120,65,90,105,Bug,Flying
128,Tauros,Normal,490,75,100,95,40,70,110,Normal,
128,Tauros Combat Breed,Fighting,490,75,110,105,30,70,100,Fighting,
128,Tauros Blaze Breed,Fighting Fire,490,75,110,105,30,70,100,Fighting,Fire
128,Tauros Aqua Breed,Fighting Water,490,75,110,105,30,70,100,Fighting,Water
129,Magikarp,Water,200,20,10,55,15,20,80,Water,
130,Gyarados,Water Flying,540,95,125,79,60,100,81,Water,Flying
130,Gyarados Mega Gyarados,Water Dark,640,95,155,109,70,130,81,Water,Dark
131,Lapras,Water Ice,535,130,85,80,85,95,60,Water,Ice
132,Ditto,Normal,288,48,48,48,48,48,48,Normal,
133,Eevee,Normal,325,55,55,50,45,65,55,Normal,
133,Eevee Partner Eevee,Normal,435,65,75,70,65,85,75,Normal,
134,Vaporeon,Water,525,130,65,60,110,95,65,Water,
135,Jolteon,Electric,525,65,65,60,110,95,130,Electric,
136,Flareon,Fire,525,65,130,60,95,110,65,Fire,
137,Porygon,Normal,395,65,60,70,85,75,40,Normal,
138,Omanyte,Rock Water,355,35,40,100,90,55,35,Rock,Water
139,Omastar,Rock Water,495,70,60,125,115,70,55,Rock,Water
140,Kabuto,Rock Water,355,30,80,90,55,45,55,Rock,Water
141,Kabutops,Rock Water,495,60,115,105,65,70,80,Rock,Water
142,Aerodactyl,Rock Flying,515,80,105,65,60,75,130,Rock,Flying
142,Aerodactyl Mega Aerodactyl,Rock Flying,615,80,135,85,70,95,150,Rock,Flying
143,Snorlax,Normal,540,160,110,65,65,110,30,Normal,
144,Articuno,Ice Flying,580,90,85,100,95,125,85,Ice,Flying
144,Articuno Galarian Articuno,Psychic Flying,580,90,85,85,125,100,95,Psychic,Flying
145,Zapdos,Electric Flying,580,90,90,85,125,90,100,Electric,Flying
145,Zapdos Galarian Zapdos,Fighting Flying,580,90,125,90,85,90,100,Fighting,Flying
146,Moltres,Fire Flying,580,90,100,90,125,85,90,Fire,Flying
146,Moltres Galarian Moltres,Dark Flying,580,90,85,90,100,125,90,Dark,Flying
147,Dratini,Dragon,300,41,64,45,50,50,50,Dragon,
148,Dragonair,Dragon,420,61,84,65,70,70,70,Dragon,
149,Dragonite,Dragon Flying,600,91,134,95,100,100,80,Dragon,Flying
150,Mewtwo,Psychic,680,106,110,90,154,90,130,Psychic,
150,Mewtwo Mega Mewtwo X,Psychic Fighting,780,106,190,100,154,100,130,Psychic,Fighting
150,Mewtwo Mega Mewtwo Y,Psychic,780,106,150,70,194,120,140,Psychic,
151,Mew,Psychic,600,100,100,100,100,100,100,Psychic,
152,Chikorita,Grass,318,45,49,65,49,65,45,Grass,
153,Bayleef,Grass,405,60,62,80,63,80,60,Grass,
154,Meganium,Grass,525,80,82,100,83,100,80,Grass,
155,Cyndaquil,Fire,309,39,52,43,60,50,65,Fire,
156,Quilava,Fire,405,58,64,58,80,65,80,Fire,
157,Typhlosion,Fire,534,78,84,78,109,85,100,Fire,
157,Typhlosion Hisuian Typhlosion,Fire Ghost,534,73,84,78,119,85,95,Fire,Ghost
158,Totodile,Water,314,50,65,64,44,48,43,Water,
159,Croconaw,Water,405,65,80,80,59,63,58,Water,
160,Feraligatr,Water,530,85,105,100,79,83,78,Water,
161,Sentret,Normal,215,35,46,34,35,45,20,Normal,
162,Furret,Normal,415,85,76,64,45,55,90,Normal,
163,Hoothoot,Normal Flying,262,60,30,30,36,56,50,Normal,Flying
164,Noctowl,Normal Flying,452,100,50,50,86,96,70,Normal,Flying
165,Ledyba,Bug Flying,265,40,20,30,40,80,55,Bug,Flying
166,Ledian,Bug Flying,390,55,35,50,55,110,85,Bug,Flying
167,Spinarak,Bug Poison,250,40,60,40,40,40,30,Bug,Poison
168,Ariados,Bug Poison,400,70,90,70,60,70,40,Bug,Poison
169,Crobat,Poison Flying,535,85,90,80,70,80,130,Poison,Flying
170,Chinchou,Water Electric,330,75,38,38,56,56,67,Water,Electric
171,Lanturn,Water Electric,460,125,58,58,76,76,67,Water,Electric
172,Pichu,Electric,205,20,40,15,35,35,60,Electric,
173,Cleffa,Fairy,218,50,25,28,45,55,15,Fairy,
174,Igglybuff,Normal Fairy,210,90,30,15,40,20,15,Normal,Fairy
175,Togepi,Fairy,245,35,20,65,40,65,20,Fairy,
176,Togetic,Fairy Flying,405,55,40,85,80,105,40,Fairy,Flying
177,Natu,Psychic Flying,320,40,50,45,70,45,70,Psychic,Flying
178,Xatu,Psychic Flying,470,65,75,70,95,70,95,Psychic,Flying
179,Mareep,Electric,280,55,40,40,65,45,35,Electric,
180,Flaaffy,Electric,365,70,55,55,80,60,45,Electric,
181,Ampharos,Electric,510,90,75,85,115,90,55,Electric,
181,Ampharos Mega Ampharos,Electric Dragon,610,90,95,105,165,110,45,Electric,Dragon
182,Bellossom,Grass,490,75,80,95,90,100,50,Grass,
183,Marill,Water Fairy,250,70,20,50,20,50,40,Water,Fairy
184,Azumarill,Water Fairy,420,100,50,80,60,80,50,Water,Fairy
185,Sudowoodo,Rock,410,70,100,115,30,65,30,Rock,
186,Politoed,Water,500,90,75,75,90,100,70,Water,
187,Hoppip,Grass Flying,250,35,35,40,35,55,50,Grass,Flying
188,Skiploom,Grass Flying,340,55,45,50,45,65,80,Grass,Flying
189,Jumpluff,Grass Flying,460,75,55,70,55,95,110,Grass,Flying
190,Aipom,Normal,360,55,70,55,40,55,85,Normal,
191,Sunkern,Grass,180,30,30,30,30,30,30,Grass,
192,Sunflora,Grass,425,75,75,55,105,85,30,Grass,
193,Yanma,Bug Flying,390,65,65,45,75,45,95,Bug,Flying
194,Wooper,Water Ground,210,55,45,45,25,25,15,Water,Ground
194,Wooper Paldean Wooper,Poison Ground,210,55,45,45,25,25,15,Poison,Ground
195,Quagsire,Water Ground,430,95,85,85,65,65,35,Water,Ground
196,Espeon,Psychic,525,65,65,60,130,95,110,Psychic,
197,Umbreon,Dark,525,95,65,110,60,130,65,Dark,
198,Murkrow,Dark Flying,405,60,85,42,85,42,91,Dark,Flying
199,Slowking,Water Psychic,490,95,75,80,100,110,30,Water,Psychic
199,Slowking Galarian Slowking,Poison Psychic,490,95,65,80,110,110,30,Poison,Psychic
200,Misdreavus,Ghost,435,60,60,60,85,85,85,Ghost,
201,Unown,Psychic,336,48,72,48,72,48,48,Psychic,
202,Wobbuffet,Psychic,405,190,33,58,33,58,33,Psychic,
203,Girafarig,Normal Psychic,455,70,80,65,90,65,85,Normal,Psychic
204,Pineco,Bug,290,50,65,90,35,35,15,Bug,
205,Forretress,Bug Steel,465,75,90,140,60,60,40,Bug,Steel
206,Dunsparce,Normal,415,100,70,70,65,65,45,Normal,
207,Gligar,Ground Flying,430,65,75,105,35,65,85,Ground,Flying
208,Steelix,Steel Ground,510,75,85,200,55,65,30,Steel,Ground
208,Steelix Mega Steelix,Steel Ground,610,75,125,230,55,95,30,Steel,Ground
209,Snubbull,Fairy,300,60,80,50,40,40,30,Fairy,
210,Granbull,Fairy,450,90,120,75,60,60,45,Fairy,
211,Qwilfish,Water Poison,440,65,95,85,55,55,85,Water,Poison
211,Qwilfish Hisuian Qwilfish,Dark Poison,440,65,95,85,55,55,85,Dark,Poison
212,Scizor,Bug Steel,500,70,130,100,55,80,65,Bug,Steel
212,Scizor Mega Scizor,Bug Steel,600,70,150,140,65,100,75,Bug,Steel
213,Shuckle,Bug Rock,505,20,10,230,10,230,5,Bug,Rock
214,Heracross,Bug Fighting,500,80,125,75,40,95,85,Bug,Fighting
214,Heracross Mega Heracross,Bug Fighting,600,80,185,115,40,105,75,Bug,Fighting
215,Sneasel,Dark Ice,430,55,95,55,35,75,115,Dark,Ice
215,Sneasel Hisuian Sneasel,Fighting Poison,430,55,95,55,35,75,115,Fighting,Poison
216,Teddiursa,Normal,330,60,80,50,50,50,40,Normal,
217,Ursaring,Normal,500,90,130,75,75,75,55,Normal,
218,Slugma,Fire,250,40,40,40,70,40,20,Fire,
219,Magcargo,Fire Rock,430,60,50,120,90,80,30,Fire,Rock
220,Swinub,Ice Ground,250,50,50,40,30,30,50,Ice,Ground
221,Piloswine,Ice Ground,450,100,100,80,60,60,50,Ice,Ground
222,Corsola,Water Rock,410,65,55,95,65,95,35,Water,Rock
222,Corsola Galarian Corsola,Ghost,410,60,55,100,65,100,30,Ghost,
223,Remoraid,Water,300,35,65,35,65,35,65,Water,
224,Octillery,Water,480,75,105,75,105,75,45,Water,
225,Delibird,Ice Flying,330,45,55,45,65,45,75,Ice,Flying
226,Mantine,Water Flying,485,85,40,70,80,140,70,Water,Flying
227,Skarmory,Steel Flying,465,65,80,140,40,70,70,Steel,Flying
228,Houndour,Dark Fire,330,45,60,30,80,50,65,Dark,Fire
229,Houndoom,Dark Fire,500,75,90,50,110,80,95,Dark,Fire
229,Houndoom Mega Houndoom,Dark Fire,600,75,90,90,140,90,115,Dark,Fire
230,Kingdra,Water Dragon,540,75,95,95,95,95,85,Water,Dragon
231,Phanpy,Ground,330,90,60,60,40,40,40,Ground,
232,Donphan,Ground,500,90,120,120,60,60,50,Ground,
233,Porygon2,Normal,515,85,80,90,105,95,60,Normal,
234,Stantler,Normal,465,73,95,62,85,65,85,Normal,
235,Smeargle,Normal,250,55,20,35,20,45,75,Normal,
236,Tyrogue,Fighting,210,35,35,35,35,35,35,Fighting,
237,Hitmontop,Fighting,455,50,95,95,35,110,70,Fighting,
238,Smoochum,Ice Psychic,305,45,30,15,85,65,65,Ice,Psychic
239,Elekid,Electric,360,45,63,37,65,55,95,Electric,
240,Magby,Fire,365,45,75,37,70,55,83,Fire,
241,Miltank,Normal,490,95,80,105,40,70,100,Normal,
242,Blissey,Normal,540,255,10,10,75,135,55,Normal,
243,Raikou,Electric,580,90,85,75,115,100,115,Electric,
244,Entei,Fire,580,115,115,85,90,75,100,Fire,
245,Suicune,Water,580,100,75,115,90,115,85,Water,
246,Larvitar,Rock Ground,300,50,64,50,45,50,41,Rock,Ground
247,Pupitar,Rock Ground,410,70,84,70,65,70,51,Rock,Ground
248,Tyranitar,Rock Dark,600,100,134,110,95,100,61,Rock,Dark
248,Tyranitar Mega Tyranitar,Rock Dark,700,100,164,150,95,120,71,Rock,Dark
249,Lugia,Psychic Flying,680,106,90,130,90,154,110,Psychic,Flying
250,Ho-oh,Fire Flying,680,106,130,90,110,154,90,Fire,Flying
251,Celebi,Psychic Grass,600,100,100,100,100,100,100,Psychic,Grass
252,Treecko,Grass,310,40,45,35,65,55,70,Grass,
253,Grovyle,Grass,405,50,65,45,85,65,95,Grass,
254,Sceptile,Grass,530,70,85,65,105,85,120,Grass,
254,Sceptile Mega Sceptile,Grass Dragon,630,70,110,75,145,85,145,Grass,Dragon
255,Torchic,Fire,310,45,60,40,70,50,45,Fire,
256,Combusken,Fire Fighting,405,60,85,60,85,60,55,Fire,Fighting
257,Blaziken,Fire Fighting,530,80,120,70,110,70,80,Fire,Fighting
257,Blaziken Mega Blaziken,Fire Fighting,630,80,160,80,130,80,100,Fire,Fighting
258,Mudkip,Water,310,50,70,50,50,50,40,Water,
259,Marshtomp,Water Ground,405,70,85,70,60,70,50,Water,Ground
260,Swampert,Water Ground,535,100,110,90,85,90,60,Water,Ground
260,Swampert Mega Swampert,Water Ground,635,100,150,110,95,110,70,Water,Ground
261,Poochyena,Dark,220,35,55,35,30,30,35,Dark,
262,Mightyena,Dark,420,70,90,70,60,60,70,Dark,
263,Zigzagoon,Normal,240,38,30,41,30,41,60,Normal,
263,Zigzagoon Galarian Zigzagoon,Dark Normal,240,38,30,41,30,41,60,Dark,Normal
264,Linoone,Normal,420,78,70,61,50,61,100,Normal,
264,Linoone Galarian Linoone,Dark Normal,420,78,70,61,50,61,100,Dark,Normal
265,Wurmple,Bug,195,45,45,35,20,30,20,Bug,
266,Silcoon,Bug,205,50,35,55,25,25,15,Bug,
267,Beautifly,Bug Flying,395,60,70,50,100,50,65,Bug,Flying
268,Cascoon,Bug,205,50,35,55,25,25,15,Bug,
269,Dustox,Bug Poison,385,60,50,70,50,90,65,Bug,Poison
270,Lotad,Water Grass,220,40,30,30,40,50,30,Water,Grass
271,Lombre,Water Grass,340,60,50,50,60,70,50,Water,Grass
272,Ludicolo,Water Grass,480,80,70,70,90,100,70,Water,Grass
273,Seedot,Grass,220,40,40,50,30,30,30,Grass,
274,Nuzleaf,Grass Dark,340,70,70,40,60,40,60,Grass,Dark
275,Shiftry,Grass Dark,480,90,100,60,90,60,80,Grass,Dark
276,Taillow,Normal Flying,270,40,55,30,30,30,85,Normal,Flying
277,Swellow,Normal Flying,455,60,85,60,75,50,125,Normal,Flying
278,Wingull,Water Flying,270,40,30,30,55,30,85,Water,Flying
279,Pelipper,Water Flying,440,60,50,100,95,70,65,Water,Flying
280,Ralts,Psychic Fairy,198,28,25,25,45,35,40,Psychic,Fairy
281,Kirlia,Psychic Fairy,278,38,35,35,65,55,50,Psychic,Fairy
282,Gardevoir,Psychic Fairy,518,68,65,65,125,115,80,Psychic,Fairy
282,Gardevoir Mega Gardevoir,Psychic Fairy,618,68,85,65,165,135,100,Psychic,Fairy
283,Surskit,Bug Water,269,40,30,32,50,52,65,Bug,Water
284,Masquerain,Bug Flying,454,70,60,62,100,82,80,Bug,Flying
285,Shroomish,Grass,295,60,40,60,40,60,35,Grass,
286,Breloom,Grass Fighting,460,60,130,80,60,60,70,Grass,Fighting
287,Slakoth,Normal,280,60,60,60,35,35,30,Normal,
288,Vigoroth,Normal,440,80,80,80,55,55,90,Normal,
289,Slaking,Normal,670,150,160,100,95,65,100,Normal,
290,Nincada,Bug Ground,266,31,45,90,30,30,40,Bug,Ground
291,Ninjask,Bug Flying,456,61,90,45,50,50,160,Bug,Flying
292,Shedinja,Bug Ghost,236,1,90,45,30,30,40,Bug,Ghost
293,Whismur,Normal,240,64,51,23,51,23,28,Normal,
294,Loudred,Normal,360,84,71,43,71,43,48,Normal,
295,Exploud,Normal,490,104,91,63,91,73,68,Normal,
296,Makuhita,Fighting,237,72,60,30,20,30,25,Fighting,
297,Hariyama,Fighting,474,144,120,60,40,60,50,Fighting,
298,Azurill,Normal Fairy,190,50,20,40,20,40,20,Normal,Fairy
299,Nosepass,Rock,375,30,45,135,45,90,30,Rock,
300,Skitty,Normal,260,50,45,45,35,35,50,Normal,
301,Delcatty,Normal,400,70,65,65,55,55,90,Normal,
302,Sableye,Dark Ghost,380,50,75,75,65,65,50,Dark,Ghost
302,Sableye Mega Sableye,Dark Ghost,480,50,85,125,85,115,20,Dark,Ghost
303,Mawile,Steel Fairy,380,50,85,85,55,55,50,Steel,Fairy
303,Mawile Mega Mawile,Steel Fairy,480,50,105,125,55,95,50,Steel,Fairy
304,Aron,Steel Rock,330,50,70,100,40,40,30,Steel,Rock
305,Lairon,Steel Rock,430,60,90,140,50,50,40,Steel,Rock
306,Aggron,Steel Rock,530,70,110,180,60,60,50,Steel,Rock
306,Aggron Mega Aggron,Steel,630,70,140,230,60,80,50,Steel,
307,Meditite,Fighting Psychic,280,30,40,55,40,55,60,Fighting,Psychic
308,Medicham,Fighting Psychic,410,60,60,75,60,75,80,Fighting,Psychic
308,Medicham Mega Medicham,Fighting Psychic,510,60,100,85,80,85,100,Fighting,Psychic
309,Electrike,Electric,295,40,45,40,65,40,65,Electric,
310,Manectric,Electric,475,70,75,60,105,60,105,Electric,
310,Manectric Mega Manectric,Electric,575,70,75,80,135,80,135,Electric,
311,Plusle,Electric,405,60,50,40,85,75,95,Electric,
312,Minun,Electric,405,60,40,50,75,85,95,Electric,
